,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
932,Afghanistan,Asia,2015,NF,6,6,11,13,24,47.0,80.3,85.9,125.4,27.9,54.3,1669.0,6199.0,982.0,27.7,19.1,75.3,47.2,11.6,8.4,9.0,,10.0,,,,,,21.2,23.9,31.8,,,,18700.0,18700.0,554.0,-2.5,46.3,3.7,52.1,33.83,16.73,17.1,102.2,,8.3
876,Afghanistan,Asia,2018,NF,5,6,12,14,26,52.0,88.7,86.2,128.3,29.3,54.1,1983.0,6545.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Afghanistan,Asia,2019,NF,5,6,13,14,27,53.8,90.0,88.3,130.6,,,2067.0,6778.0,,,,,,,,,,7.2,,1.3,,,,,,,,,,,,,,,,,,,,,,
679,Afghanistan,Asia,2020,NF,5,6,13,14,27,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,21596.0,19983.0,513.0,-2.1,,,,,,,,,
508,Afghanistan,Asia,2021,NF,5,6,13,14,27,,,,,,,,,,27.0,,,,,,,,4.0,,,,,,,,,,,,17117.0,15161.0,378.0,-20.7,,,,,,,,,
336,Afghanistan,Asia,2022,NF,7,6,1,9,10,,,,,,,,,,27.0,,,,,,,,,,,,,,27.7,30.0,36.4,,,,16049.0,14175.0,345.0,-6.2,43.6,3.8,62.5,40.58,20.1,20.48,101.9,653.0,
0,Afghanistan,Asia,2024,NF,7,7,1,5,6,,,,,,,,,,,5.0,69.3,37.1,31.0,15.3,16.3,,,,,,,,,,,,,,,,,,42.9,3.9,65.7,42.65,21.12,21.53,102.0,,
933,Albania,Europe,2015,PF,3,3,27,40,67,105.5,108.6,111.5,115.0,91.5,105.3,175.0,188.0,140.0,20.7,47.0,64.1,55.5,17.1,17.2,17.2,5.9,2.2,0.3,1.1,3.3,243.3,5.2,,70.6,,,41.6,34.0,11387.0,11387.0,3950.0,2.2,19.0,17.7,105.8,2.9,1.46,1.43,98.0,,56.9
680,Albania,Europe,2020,PF,3,3,27,40,67,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,12516.0,15163.0,5289.0,-3.5,,,,,,,,,72.2
509,Albania,Europe,2021,PF,3,3,27,39,66,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,13657.0,17931.0,6281.0,9.1,,,,,,,,,79.3
337,Albania,Europe,2022,PF,3,3,28,39,67,91.4,98.2,92.7,98.5,91.4,101.9,124.0,154.0,103.0,35.7,,,,,,,5.4,1.7,0.1,0.1,3.2,86.5,5.9,,70.7,,,56.3,49.6,14320.0,18916.0,6655.0,4.9,17.2,22.4,103.2,2.83,1.43,1.4,97.8,29.0,82.6
172,Albania,Europe,2023,PF,3,3,28,39,67,,,,,,,,,,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Albania,Europe,2024,PF,3,3,28,40,68,,,,,,,,,,35.7,52.3,67.1,59.6,10.7,11.0,10.8,,,,,,,,,,,,,,,,,,16.8,23.5,101.9,2.79,1.41,1.38,97.8,,
934,Algeria,Africa,2015,NF,6,5,11,23,34,,,108.5,113.1,,,,3925.0,,31.6,16.2,66.3,41.7,16.6,9.9,11.2,124.1,1.4,1.3,0.4,2.4,125.4,8.5,65.9,77.0,81.5,54.1,62.4,65.8,165979.0,165979.0,4197.0,3.7,29.0,8.1,16.8,40.02,19.54,20.48,104.8,,38.2
681,Algeria,Africa,2020,NF,6,5,10,24,34,,,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,168310.0,145744.0,3354.0,-5.1,,,,,,,,,60.7
510,Algeria,Africa,2021,NF,6,5,10,22,32,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,174033.0,163473.0,3700.0,3.4,,,,,,,,,66.2
338,Algeria,Africa,2022,NF,6,5,10,22,32,,,106.9,109.8,,,,5051.0,0.0,8.1,,,,,,,39.1,1.8,0.5,0.5,3.0,,3.5,63.1,70.6,73.1,56.0,62.4,64.6,179428.0,191913.0,4274.0,3.1,30.8,9.4,19.1,45.48,22.27,23.21,104.2,2382.0,71.2
173,Algeria,Africa,2023,NF,6,5,10,22,32,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Algeria,Africa,2024,NF,6,5,10,22,32,,,,,,,,,,7.9,16.9,67.1,42.4,21.3,9.9,12.1,,,,,,,,,,,,,,,,,,30.3,10.0,19.7,46.81,22.94,23.87,104.1,,
935,Andorra,Europe,2015,F,1,1,39,57,96,92.2,97.7,88.2,89.6,91.6,83.8,3.0,4.0,1.0,50.0,,,,,,,185.4,0.0,0.0,0.0,0.0,1457.9,15.3,,90.6,,98.2,98.2,98.2,2789.0,2789.0,38870.0,1.4,15.3,17.9,153.6,0.07,0.04,0.04,102.3,,87.9
851,Andorra,Europe,2019,F,1,1,39,55,94,,,,,,,,,,,,,,,,,327.5,,0.0,,,,49.8,,,,,,,,,,,,,,,,,,,
682,Andorra,Europe,2020,F,1,1,39,55,94,,,,,,,,,,46.4,,,,,,,,2.6,,,5.0,,,,,,,,,2671.0,2891.0,37207.0,-11.2,,,,,,,,,93.2
511,Andorra,Europe,2021,F,1,1,38,55,93,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,2893.0,3325.0,42066.0,8.3,,,,,,,,,93.9
339,Andorra,Europe,2022,F,1,1,38,55,93,94.0,96.7,89.9,90.4,103.7,100.0,3.0,4.0,2.0,46.4,,,,,,,,,,,,,,,90.6,,100.0,100.0,100.0,3169.0,3376.0,42293.0,9.6,12.7,21.6,169.6,0.08,0.04,0.04,104.8,0.0,94.5
174,Andorra,Europe,2023,F,1,1,38,55,93,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Andorra,Europe,2024,F,1,1,38,55,93,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,11.9,23.2,174.3,0.08,0.04,0.04,104.6,,
936,Angola,Africa,2015,NF,6,5,10,18,28,,,111.9,126.4,,,,5621.0,,36.8,73.9,78.6,76.2,17.5,15.4,16.4,,4.5,,,,,,,,,,,,116194.0,116194.0,4131.0,0.9,45.3,4.3,22.6,28.16,14.25,13.91,97.6,,22.0
916,Angola,Africa,2016,NF,6,6,10,14,24,57.0,94.3,102.2,111.8,25.7,31.5,1526.0,5259.0,508.0,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,
877,Angola,Africa,2018,NF,6,6,10,16,26,,,86.0,91.2,,,,4697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Angola,Africa,2020,NF,6,5,11,21,32,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,104561.0,54821.0,1640.0,-5.6,,,,,,,,,36.6
512,Angola,Africa,2021,NF,6,5,10,21,31,,,,,,,,,,29.6,,,,,,,,,,,,,,,,,,,,105816.0,69906.0,2026.0,1.2,,,,,,,,,37.8
340,Angola,Africa,2022,NF,6,5,10,20,30,,,,,,,,,,29.6,,,,,,,,,,,,,,,,,,,,108990.0,113305.0,3184.0,3.0,44.8,4.5,28.6,35.64,18.01,17.63,97.9,1247.0,39.3
175,Angola,Africa,2023,NF,6,5,10,18,28,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Angola,Africa,2024,NF,6,5,10,18,28,,,,,,,,,,38.6,72.7,77.6,75.1,14.2,13.9,14.1,,,,,,,,,,,,,,,,,,44.4,4.6,30.4,37.89,19.14,18.75,98.0,,
937,Antigua and Barbuda,Americas,2015,F,2,2,31,49,80,128.4,132.5,108.1,111.5,103.1,89.5,5.0,10.0,3.0,11.1,,,,,,,7.8,,4.4,2.1,9.3,1350.9,78.9,,,,,,,1337.0,1337.0,14862.0,3.8,21.2,12.3,203.2,0.09,0.05,0.04,90.4,,70.0
878,Antigua and Barbuda,Americas,2018,F,2,2,33,50,83,119.1,135.8,111.9,112.3,118.7,104.7,5.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Antigua and Barbuda,Americas,2019,F,2,2,33,51,84,,,111.0,113.2,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Antigua and Barbuda,Americas,2020,F,2,2,33,52,85,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,1339.0,1418.0,15303.0,-17.4,,,,,,,,,86.9
513,Antigua and Barbuda,Americas,2021,F,2,2,33,52,85,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,1425.0,1561.0,16740.0,6.4,,,,,,,,,87.1
341,Antigua and Barbuda,Americas,2022,F,2,2,33,52,85,,,,,,,,,,11.1,,,,,,,3.2,10.7,1.1,2.0,20.1,1066.5,88.5,,,,,,,1554.0,1770.0,18880.0,9.1,18.6,16.3,211.0,0.09,0.05,0.04,90.8,0.0,91.4
176,Antigua and Barbuda,Americas,2023,F,2,2,33,52,85,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Antigua and Barbuda,Americas,2024,F,2,2,33,52,85,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,17.8,17.7,213.1,0.09,0.05,0.04,90.8,,
938,Argentina,Americas,2015,F,2,2,31,49,80,131.7,129.0,114.8,112.8,91.5,78.6,2723.0,4784.0,1779.0,36.2,47.5,71.5,59.2,8.7,6.8,7.6,419.2,6.6,,1.8,11.4,628.6,37.3,,,,,46.1,46.0,644903.0,644903.0,14909.0,2.7,24.9,15.3,15.6,43.48,21.94,21.54,98.2,,68.0
917,Argentina,Americas,2016,F,2,2,31,48,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,46.1,,,,,,,,,,,,,
685,Argentina,Americas,2020,F,2,2,35,50,85,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,558293.0,385741.0,8565.0,-9.9,,,,,,,,,85.5
514,Argentina,Americas,2021,F,2,2,35,49,84,129.4,125.1,111.6,108.8,110.5,101.3,2689.0,4821.0,2208.0,42.4,,,,,,,,,,,,,,,,,,,,618130.0,487903.0,10776.0,10.7,,,,,,,,,87.2
342,Argentina,Americas,2022,F,2,2,35,49,84,,,,,,,,,,44.8,,,,,,,366.9,4.3,0.1,1.5,7.2,684.9,86.2,,,,,,46.2,648767.0,631133.0,13868.0,5.0,22.8,16.4,16.3,45.41,22.88,22.53,98.5,2796.0,88.4
177,Argentina,Americas,2023,F,2,2,35,50,85,,,,,,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Argentina,Americas,2024,F,2,2,35,50,85,,,,,,,,,,42.4,50.4,71.1,60.6,7.4,6.3,6.7,,,,,,,,,,,,,,,,,,21.6,16.8,16.4,45.7,23.02,22.68,98.5,,
939,Armenia,Eurasia,2015,PF,5,4,16,30,46,,,102.0,102.7,89.3,85.9,,145.0,97.0,10.7,55.7,69.4,61.7,11.0,13.6,12.3,5.7,2.6,2.0,1.3,4.1,186.4,4.2,,83.1,,,11.7,1.1,10553.0,10553.0,3666.0,3.2,20.1,16.1,102.6,2.92,1.58,1.34,85.2,,59.1
879,Armenia,Eurasia,2018,PF,5,4,15,30,45,,,,,,,,,,,,,,,,,6.3,1.8,1.9,0.7,3.0,250.2,3.0,,,,,,,,,,,,,,,,,,,
853,Armenia,Eurasia,2019,PF,4,4,20,31,51,,,,,,,,,,,,,,,,,7.4,2.6,1.5,0.6,4.9,,3.7,,,,,,,,,,,,,,,,,,,
686,Armenia,Eurasia,2020,PF,4,4,21,32,53,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,11950.0,12642.0,4506.0,-7.2,,,,,,,,,76.5
515,Armenia,Eurasia,2021,PF,4,4,22,33,55,,,,,,,,,,22.7,,,,,,,,2.2,,0.9,3.7,,,,,,,,,12643.0,13879.0,4973.0,5.8,,,,,,,,,78.6
343,Armenia,Eurasia,2022,PF,4,4,23,32,55,101.1,102.1,92.3,93.5,89.1,86.9,186.0,156.0,86.0,34.6,,,,,,,,,,,,,,,82.4,,,10.8,0.0,14239.0,19514.0,7018.0,12.6,19.9,19.9,101.2,2.88,1.55,1.33,86.2,30.0,77.0
178,Armenia,Eurasia,2023,PF,4,4,23,31,54,,,,,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Armenia,Eurasia,2024,PF,4,4,23,31,54,,,,,,,,,,36.5,55.5,67.6,60.7,6.2,10.7,8.3,,,,,,,,,,,,,,,,,,19.2,20.4,104.5,2.97,1.59,1.38,86.7,,
940,Australia,Asia,2015,F,1,1,39,58,97,117.2,132.3,101.6,101.7,207.0,243.9,1408.0,2141.0,1301.0,26.7,59.1,71.1,65.0,6.1,6.0,6.1,285.5,1.0,2.2,0.7,1.3,2355.9,92.1,,,99.7,,95.1,,1246299.0,1246299.0,52321.0,2.8,18.9,20.3,3.1,23.95,12.06,11.89,98.6,,84.6
687,Australia,Asia,2020,F,1,1,40,57,97,,,,,,,,,,30.5,,,,,,,,,,,,,,,,,,,,1364615.0,1437563.0,56002.0,2.1,,,,,,,,,94.7
516,Australia,Asia,2021,F,1,1,40,57,97,,,,,,,,,,31.1,,,,,,,,,,,,,,,,,,,,1422870.0,1752688.0,67616.0,4.3,,,,,,,,,95.0
344,Australia,Asia,2022,F,1,1,39,56,95,107.5,110.5,99.2,99.0,180.0,190.0,1425.0,2248.0,1130.0,31.1,,,,,,,288.9,0.8,1.9,0.5,1.2,2027.6,122.8,,,99.5,,95.8,,1465797.0,1776577.0,67867.0,3.0,18.2,22.8,3.4,26.2,13.2,13.0,98.5,7692.0,94.9
179,Australia,Asia,2023,F,1,1,38,57,95,,,,,,,,,,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Australia,Asia,2024,F,1,1,38,57,95,,,,,,,,,,38.0,61.3,71.4,66.2,3.7,3.8,3.8,,,,,,,,,,,,,,,,,,17.8,23.5,3.5,26.71,13.46,13.25,98.5,,
941,Austria,Europe,2015,F,1,1,38,58,96,100.6,100.8,100.4,101.7,98.8,105.1,334.0,328.0,358.0,30.6,55.5,66.1,60.6,5.4,6.2,5.8,40.0,0.5,0.0,0.4,0.6,1622.9,40.3,,98.9,,99.3,99.7,100.0,381818.0,381818.0,44179.0,1.0,14.3,24.0,104.8,8.64,4.41,4.24,96.1,,83.9
688,Austria,Europe,2020,F,1,1,37,56,93,,,,,,,,,,39.3,,,,,,,,,,,,,,,,,,,,386337.0,435049.0,48839.0,-6.6,,,,,,,,,87.5
517,Austria,Europe,2021,F,1,1,37,56,93,,,,,,,,,,39.9,,,,,,,,,,,,,,,,,,,,402709.0,479295.0,53720.0,4.2,,,,,,,,,92.5
345,Austria,Europe,2022,F,1,1,37,56,93,100.6,101.2,100.4,101.1,100.3,103.6,343.0,348.0,351.0,41.5,,,,,,,48.4,0.9,0.1,0.9,0.9,1086.6,55.6,,98.9,,99.3,99.7,100.0,422065.0,470302.0,52609.0,4.8,14.3,26.7,109.8,9.06,4.6,4.46,96.9,84.0,93.6
180,Austria,Europe,2023,F,1,1,37,56,93,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Austria,Europe,2024,F,1,1,37,56,93,,,,,,,,,,41.0,56.8,67.1,61.8,5.5,5.9,5.7,,,,,,,,,,,,,,,,,,14.2,27.9,110.5,9.12,4.63,4.49,97.0,,
1105,Azerbaijan,Eurasia,2014,NF,6,6,6,16,22,,,,,,,,,,,,,,,,,1.6,2.4,0.0,1.8,3.1,60.2,2.2,,,,,,,,,,,,,,,,,,,
942,Azerbaijan,Eurasia,2015,NF,6,6,6,14,20,89.2,91.7,105.6,107.4,,,574.0,551.0,198.0,15.6,61.0,66.1,63.4,5.8,4.1,5.0,,2.1,,1.4,2.9,,,72.6,67.9,91.5,,68.4,56.5,53076.0,53076.0,5381.0,1.1,23.5,9.2,118.0,9.75,5.03,4.72,93.9,,77.0
854,Azerbaijan,Eurasia,2019,NF,7,6,2,9,11,,,,,,,,,,,,,,,,,,,,,,,,77.5,70.2,92.2,,69.0,59.3,,,,,,,,,,,,,
689,Azerbaijan,Eurasia,2020,NF,7,6,2,8,10,,,,,,,,,,16.8,,,,,,,3.1,2.2,0.0,1.5,3.0,18.3,0.6,,,,,,,51240.0,42693.0,4151.0,-4.2,,,,,,,,,84.6
518,Azerbaijan,Eurasia,2021,NF,7,6,2,8,10,,,,,,,,,,18.2,,,,,,,3.2,1.9,0.1,1.3,2.5,,0.7,,,,,,,54117.0,54825.0,5316.0,5.6,,,,,,,,,86.0
346,Azerbaijan,Eurasia,2022,NF,7,7,2,7,9,89.8,90.8,99.5,100.1,57.5,66.1,758.0,639.0,273.0,18.3,,,,,,,,2.4,,,,,,81.1,71.6,92.3,,,63.0,56597.0,78721.0,7600.0,4.6,22.8,13.0,124.6,10.3,5.25,5.04,96.0,87.0,88.2
181,Azerbaijan,Eurasia,2023,NF,7,7,2,7,9,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Azerbaijan,Eurasia,2024,NF,7,7,0,7,7,,,,,,,,,,18.1,67.2,73.0,70.0,6.6,4.8,5.7,,,,,,,,,,,,,,,,,,21.8,14.2,125.1,10.34,5.27,5.07,96.1,,
1106,Bahamas,Americas,2014,F,1,1,38,58,96,80.6,82.5,79.2,81.7,78.0,75.1,16.0,32.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Bahamas,Americas,2015,F,1,1,38,58,96,,,,,,,13.0,33.0,13.0,13.2,66.7,81.3,73.6,13.0,11.1,12.0,1161.7,37.2,5.1,7.8,68.8,,76.9,,,,,,,11711.0,11711.0,29821.0,1.0,21.3,14.0,71.9,0.39,0.2,0.19,93.3,,78.0
690,Bahamas,Americas,2020,F,1,1,38,53,91,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,9310.0,9755.0,23998.0,-23.5,,,,,,,,,92.4
519,Bahamas,Americas,2021,F,1,1,38,53,91,63.5,64.4,93.5,94.1,62.3,60.3,13.0,29.0,12.0,12.8,,,,,,,,,,,,,,,,,,,,10891.0,11528.0,28260.0,17.0,,,,,,,,,93.8
347,Bahamas,Americas,2022,F,1,1,38,53,91,,,,,,,,,,18.0,,,,,,,878.6,31.2,1.7,4.7,60.3,433.7,49.8,,,,,,,12456.0,12897.0,31458.0,14.4,18.8,16.1,74.2,0.4,0.21,0.19,91.8,14.0,94.4
182,Bahamas,Americas,2023,F,1,1,38,53,91,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bahamas,Americas,2024,F,1,1,38,53,91,,,,,,,,,,18.0,65.2,79.3,71.8,9.4,9.3,9.4,,,,,,,,,,,,,,,,,,17.9,17.0,74.9,0.4,0.21,0.19,91.4,,
944,Bahrain,Middle East,2015,NF,7,6,5,10,15,100.9,102.5,102.9,101.6,103.5,96.5,47.0,108.0,45.0,7.5,43.0,86.2,70.9,3.8,0.4,1.2,,0.2,,0.0,0.4,,,,98.9,,,90.2,,31051.0,31051.0,22795.0,2.5,20.5,4.7,1749.2,1.37,0.52,0.85,162.0,,93.5
691,Bahrain,Middle East,2020,NF,7,6,1,10,11,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,33360.0,34622.0,23433.0,-4.6,,,,,,,,,99.7
520,Bahrain,Middle East,2021,NF,7,6,2,10,12,,,,,,,,,,15.0,,,,,,,,0.1,,0.2,0.0,,,,,,,,,34251.0,39303.0,26860.0,2.7,,,,,,,,,100.0
348,Bahrain,Middle East,2022,NF,7,6,2,10,12,98.5,98.6,92.7,92.0,104.7,113.4,56.0,115.0,55.0,15.0,,,,,,,,,,,,,,,98.9,,,92.2,,35898.0,44383.0,30147.0,4.8,19.1,6.2,1958.4,1.53,0.58,0.95,163.0,1.0,100.0
183,Bahrain,Middle East,2023,NF,7,6,2,10,12,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bahrain,Middle East,2024,NF,7,6,2,10,12,,,,,,,,,,20.0,44.3,87.1,71.8,4.1,0.5,1.3,,,,,,,,,,,,,,,,,,18.7,6.7,2052.4,1.61,0.61,1.0,163.4,,
945,Bangladesh,Asia,2015,PF,4,4,21,29,50,89.1,72.3,,,47.0,48.4,8247.0,,6320.0,20.0,32.8,80.4,56.3,7.4,3.1,4.4,,2.6,,,,,,61.3,56.4,47.1,20.3,22.7,27.3,228785.0,228785.0,1450.0,8.5,31.2,7.6,1224.4,159.38,80.86,78.53,97.1,,12.9
880,Bangladesh,Asia,2018,PF,4,4,19,26,45,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,
692,Bangladesh,Asia,2020,PF,5,5,15,24,39,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,318591.0,373446.0,2231.0,3.4,,,,,,,,,36.1
521,Bangladesh,Asia,2021,PF,5,5,15,24,39,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,340699.0,414758.0,2449.0,6.9,,,,,,,,,38.9
349,Bangladesh,Asia,2022,PF,5,5,15,24,39,95.5,75.9,123.1,112.4,64.6,59.9,7895.0,17162.0,8175.0,20.9,,,,,,,,,,,,,,62.4,59.1,54.2,32.4,31.0,28.8,364957.0,432677.0,2528.0,7.1,28.8,9.1,1301.3,169.38,85.99,83.4,97.0,148.0,41.6
184,Bangladesh,Asia,2023,PF,5,5,15,25,40,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Asia,2024,PF,5,5,15,25,40,,,,,,,,,,20.9,36.9,79.9,58.0,6.5,3.1,4.2,,,,,,,,,,,,,,,,,,28.0,9.5,1333.4,173.56,88.22,85.34,96.7,,
946,Barbados,Americas,2015,F,1,1,40,59,99,107.8,107.7,95.3,97.3,111.9,106.3,12.0,21.0,8.0,16.7,60.8,67.5,64.0,9.0,10.6,9.8,530.1,11.1,5.0,2.1,21.1,609.2,69.8,,,,,,,4734.0,4734.0,17024.0,2.4,19.2,18.6,648.8,0.28,0.15,0.13,91.8,,72.0
693,Barbados,Americas,2020,F,1,1,38,57,95,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,4229.0,4739.0,16883.0,-12.7,,,,,,,,,72.7
522,Barbados,Americas,2021,F,1,1,38,57,95,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,4196.0,4923.0,17507.0,-0.8,,,,,,,,,74.9
350,Barbados,Americas,2022,F,1,1,38,57,95,100.2,99.0,94.0,97.1,120.1,112.9,11.0,18.0,8.0,20.0,,,,,,,326.3,15.3,2.1,1.4,30.4,399.8,44.4,,,,,,,4672.0,5700.0,20239.0,11.3,17.7,22.4,656.6,0.28,0.15,0.14,92.2,0.0,76.2
185,Barbados,Americas,2023,F,1,1,37,57,94,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Barbados,Americas,2024,F,1,1,37,57,94,,,,,,,,,,26.7,58.3,65.5,61.7,6.6,8.6,7.6,,,,,,,,,,,,,,,,,,17.2,23.3,656.9,0.28,0.15,0.14,92.1,,
1107,Belarus,Eurasia,2014,NF,7,6,4,10,14,,,,,,,,,,,,,,,,,8.6,3.5,0.3,2.2,5.0,418.1,4.7,,,,,,,,,,,,,,,,,,,
947,Belarus,Eurasia,2015,NF,7,6,4,10,14,93.2,95.0,95.3,96.8,103.0,108.9,445.0,387.0,200.0,27.3,59.3,71.2,64.7,4.3,7.5,5.9,8.7,3.4,0.3,2.2,4.7,,5.5,,92.5,,55.5,75.6,81.5,56455.0,56455.0,5820.0,-3.8,16.2,20.4,46.8,9.49,5.07,4.41,87.0,,67.3
855,Belarus,Eurasia,2019,NF,7,6,5,14,19,,,,,,,,,,,,,,,,,7.4,2.3,0.1,1.7,3.1,,9.2,,,,,,,,,,,,,,,,,,,
694,Belarus,Eurasia,2020,NF,7,6,5,14,19,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,58693.0,61372.0,6370.0,-0.7,,,,,,,,,85.1
523,Belarus,Eurasia,2021,NF,7,6,2,9,11,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,60121.0,69674.0,7274.0,2.4,,,,,,,,,86.9
351,Belarus,Eurasia,2022,NF,7,7,2,6,8,91.6,94.8,92.9,96.5,95.3,101.1,517.0,452.0,194.0,40.0,,,,,,,,,,,,,,,93.1,,48.7,75.0,81.5,57270.0,72874.0,7643.0,-4.7,17.0,24.0,45.2,9.17,4.9,4.27,87.3,208.0,89.5
186,Belarus,Eurasia,2023,NF,7,7,2,6,8,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Belarus,Eurasia,2024,NF,7,7,2,6,8,,,,,,,,,,40.0,58.9,71.2,64.4,2.8,4.1,3.4,,,,,,,,,,,,,,,,,,16.3,25.0,44.6,9.06,4.84,4.22,87.3,,
948,Belgium,Europe,2015,F,1,1,40,57,97,188.0,177.2,102.3,102.2,168.4,142.4,445.0,783.0,773.0,39.3,48.0,58.9,53.3,7.8,9.1,8.5,554.6,,10.4,1.8,2.3,2194.6,61.2,,99.7,,,86.5,,462150.0,462150.0,41086.0,2.0,17.0,24.1,372.4,11.28,5.73,5.55,96.8,,85.1
898,Belgium,Europe,2017,F,1,1,40,55,95,,,,,,,,,,,,,,,,,551.3,,10.3,1.6,1.9,1963.8,75.8,,,,,,,,,,,,,,,,,,,
695,Belgium,Europe,2020,F,1,1,39,57,96,,,,,,,,,,40.7,,,,,,,480.0,,,,,1347.2,78.2,,,,,,,468920.0,526264.0,45518.0,-5.3,,,,,,,,,91.5
524,Belgium,Europe,2021,F,1,1,39,57,96,154.7,149.9,101.8,101.8,148.4,128.9,413.0,818.0,719.0,42.0,,,,,,,500.5,1.1,,0.2,2.0,,84.0,,,,,,,501045.0,600749.0,51738.0,6.9,,,,,,,,,92.8
352,Belgium,Europe,2022,F,1,1,39,57,96,,,,,,,,,,42.0,,,,,,,,,,,,,,,99.7,,,94.9,,516126.0,582643.0,49987.0,3.0,16.5,26.2,384.5,11.64,5.9,5.74,97.2,31.0,94.0
187,Belgium,Europe,2023,F,1,1,39,57,96,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
